date,Time,magnitude,zone,description
7/13/2024,0:14,2.7,ZONA SEISMICA VRANCEA BRASOV,
7/12/2024,20:39,4,DOBROGEA TULCEA,
7/11/2024,22:05,3.2,ZONA SEISMICA VRANCEA VRANCEA,
7/10/2024,19:07,3,CRISANA SATU MARE,
7/10/2024,10:18,2,TRANSILVANIA BRASOV,
7/10/2024,8:44,3.6,ZONA SEISMICA VRANCEA BUZAU,
7/9/2024,19:03,2.8,ZONA SEISMICA VRANCEA BUZAU,
7/7/2024,8:36,2.6,ZONA SEISMICA VRANCEA BUZAU,
7/6/2024,1:35,3,ZONA SEISMICA VRANCEA VRANCEA,
7/5/2024,22:54,2.6,ZONA SEISMICA VRANCEA BUZAU,
7/5/2024,0:25,3.3,ZONA SEISMICA VRANCEA VRANCEA,
7/3/2024,1:38,2,ZONA SEISMICA VRANCEA BUZAU,
7/1/2024,22:25,2.7,ZONA SEISMICA VRANCEA BUZAU,
6/30/2024,9:58,3.3,ZONA SEISMICA VRANCEA BUZAU,
6/29/2024,2:05,2.5,ZONA SEISMICA VRANCEA VRANCEA,
6/27/2024,23:25,2.7,ZONA SEISMICA VRANCEA BUZAU,
6/27/2024,8:14,2.6,ZONA SEISMICA VRANCEA VRANCEA,
6/23/2024,18:46,2.8,OLTENIA GORJ,
6/23/2024,5:34,3.7,ZONA SEISMICA VRANCEA BUZAU,
6/19/2024,9:07,2.7,ZONA SEISMICA VRANCEA BUZAU,
6/17/2024,3:57,2.5,ZONA SEISMICA VRANCEA BUZAU,
6/17/2024,1:00,2.7,ZONA SEISMICA VRANCEA BUZAU,
6/16/2024,23:55,2.8,ZONA SEISMICA VRANCEA BUZAU,
6/16/2024,23:22,2.1,ZONA SEISMICA VRANCEA VRANCEA,
6/15/2024,20:34,2,MUNTENIA BRAILA,
6/14/2024,0:44,2.5,OLTENIA GORJ,
6/13/2024,21:32,2.1,OLTENIA GORJ,
6/13/2024,7:00,3.6,ZONA SEISMICA VRANCEA BUZAU,
6/12/2024,20:24,2.7,ZONA SEISMICA VRANCEA BUZAU,
6/12/2024,19:07,3.2,ZONA SEISMICA VRANCEA BUZAU,
6/11/2024,10:37,2.4,ZONA SEISMICA VRANCEA VRANCEA,
6/11/2024,2:58,2.4,ZONA SEISMICA VRANCEA BUZAU,
6/9/2024,14:12,3.3,ZONA SEISMICA VRANCEA BUZAU,
